Time,Signal_uV
0,-0.385
0.0078125,-0.395
0.015625,-0.375
0.0234375,-0.365
0.03125,-0.345
0.0390625,-0.345
0.046875,-0.325
0.0546875,-0.305
0.0625,-0.285
0.0703125,-0.275
0.078125,-0.265
0.0859375,-0.255
0.09375,-0.245
0.1015625,-0.245
0.109375,-0.255
0.1171875,-0.255
0.125,-0.265
0.1328125,-0.275
0.140625,-0.275
0.1484375,-0.285
0.15625,-0.295
0.1640625,-0.295
0.171875,-0.295
0.1796875,-0.295
0.1875,-0.295
0.1953125,-0.305
0.203125,-0.305
0.2109375,-0.295
0.21875,-0.295
0.2265625,-0.285
0.234375,-0.285
0.2421875,-0.285
0.25,-0.275
0.2578125,-0.285
0.265625,-0.285
0.2734375,-0.265
0.28125,-0.275
0.2890625,-0.275
0.296875,-0.265
0.3046875,-0.265
0.3125,-0.265
0.3203125,-0.255
0.328125,-0.255
0.3359375,-0.255
0.34375,-0.245
0.3515625,-0.245
0.359375,-0.245
0.3671875,-0.245
0.375,-0.235
0.3828125,-0.235
0.390625,-0.205
0.3984375,-0.125
0.40625,-0.105
0.4140625,-0.125
0.421875,-0.075
0.4296875,-0.115
0.4375,-0.145
0.4453125,-0.165
0.453125,-0.205
0.4609375,-0.195
0.46875,-0.245
0.4765625,-0.255
0.484375,-0.265
0.4921875,-0.265
0.5,-0.255
0.5078125,-0.255
0.515625,-0.245
0.5234375,-0.225
0.53125,-0.215
0.5390625,-0.245
0.546875,-0.275
0.5546875,0.415
0.5625,1.955
0.5703125,2.405
0.578125,0.155
0.5859375,-1.515
0.59375,-1.105
0.6015625,-0.665
0.609375,-0.315
0.6171875,-0.145
0.625,-0.095
0.6328125,-0.065
0.640625,-0.035
0.6484375,-0.015
0.65625,-0.005
0.6640625,0.015
0.671875,0.045
0.6796875,0.075
0.6875,0.085
0.6953125,0.125
0.703125,0.145
0.7109375,0.175
0.71875,0.215
0.7265625,0.255
0.734375,0.305
0.7421875,0.365
0.75,0.425
0.7578125,0.495
0.765625,0.585
0.7734375,0.655
0.78125,0.735
0.7890625,0.795
0.796875,0.825
0.8046875,0.835
0.8125,0.795
0.8203125,0.725
0.828125,0.615
0.8359375,0.455
0.84375,0.285
0.8515625,0.125
0.859375,-0.015
0.8671875,-0.115
0.875,-0.205
0.8828125,-0.265
0.890625,-0.315
0.8984375,-0.325
0.90625,-0.345
0.9140625,-0.355
0.921875,-0.355
0.9296875,-0.345
0.9375,-0.345
0.9453125,-0.325
0.953125,-0.315
0.9609375,-0.305
0.96875,-0.285
0.9765625,-0.275
0.984375,-0.255
0.9921875,-0.245
1,-0.235
1.0078125,-0.225
1.015625,-0.235
1.0234375,-0.225
1.03125,-0.235
1.0390625,-0.245
1.046875,-0.245
1.0546875,-0.255
1.0625,-0.255
1.0703125,-0.255
1.078125,-0.265
1.0859375,-0.265
1.09375,-0.255
1.1015625,-0.265
1.109375,-0.255
1.1171875,-0.255
1.125,-0.255
1.1328125,-0.245
1.140625,-0.255
1.1484375,-0.245
1.15625,-0.245
1.1640625,-0.245
1.171875,-0.235
1.1796875,-0.245
1.1875,-0.235
1.1953125,-0.235
1.203125,-0.235
