Time,Signal_uV
0,-0.025
0.0078125,-0.045
0.015625,-0.035
0.0234375,-0.015
0.03125,-0.005
0.0390625,0.005
0.046875,0.045
0.0546875,0.045
0.0625,-0.005
0.0703125,-0.065
0.078125,-0.085
0.0859375,-0.065
0.09375,-0.055
0.1015625,-0.015
0.109375,-0.015
0.1171875,-0.045
0.125,-0.055
0.1328125,-0.065
0.140625,-0.035
0.1484375,-0.065
0.15625,-0.055
0.1640625,-0.055
0.171875,0.125
0.1796875,0.005
0.1875,-0.305
0.1953125,-0.465
0.203125,-0.015
0.2109375,0.525
0.21875,0.535
0.2265625,-0.695
0.234375,-0.565
0.2421875,-0.185
0.25,-0.105
0.2578125,-0.095
0.265625,-0.085
0.2734375,-0.105
0.28125,-0.125
0.2890625,-0.125
0.296875,-0.115
0.3046875,-0.125
0.3125,-0.145
0.3203125,-0.125
0.328125,-0.165
0.3359375,-0.195
0.34375,-0.205
0.3515625,-0.215
0.359375,-0.215
0.3671875,-0.245
0.375,-0.295
0.3828125,-0.315
0.390625,-0.315
0.3984375,-0.345
0.40625,-0.325
0.4140625,-0.325
0.421875,-0.285
0.4296875,-0.285
0.4375,-0.265
0.4453125,-0.215
0.453125,-0.135
0.4609375,-0.125
0.46875,-0.095
0.4765625,-0.065
0.484375,-0.035
0.4921875,-0.065
0.5,-0.065
0.5078125,-0.065
0.515625,-0.005
0.5234375,-0.055
0.53125,-0.055
0.5390625,-0.055
0.546875,-0.045
0.5546875,-0.035
0.5625,-0.075
0.5703125,-0.055
0.578125,-0.025
0.5859375,-0.055
0.59375,-0.085
0.6015625,-0.065
0.609375,-0.045
0.6171875,-0.055
0.625,-0.055
0.6328125,-0.065
0.640625,-0.035
0.6484375,-0.005
0.65625,-0.005
0.6640625,0.015
0.671875,0.005
0.6796875,-0.055
0.6875,-0.065
0.6953125,-0.105
0.703125,-0.075
0.7109375,-0.045
0.71875,-0.065
0.7265625,-0.035
0.734375,-0.055
0.7421875,-0.075
0.75,-0.075
0.7578125,-0.065
0.765625,-0.045
0.7734375,-0.045
0.78125,0.175
0.7890625,0.125
0.796875,-0.215
0.8046875,-0.485
0.8125,-0.205
0.8203125,0.305
0.828125,0.485
0.8359375,-0.745
0.84375,-0.675
0.8515625,-0.205
0.859375,-0.045
0.8671875,-0.045
0.875,-0.085
0.8828125,-0.075
0.890625,-0.085
0.8984375,-0.085
0.90625,-0.085
0.9140625,-0.105
0.921875,-0.085
0.9296875,-0.115
0.9375,-0.125
0.9453125,-0.135
0.953125,-0.125
0.9609375,-0.135
0.96875,-0.165
0.9765625,-0.175
0.984375,-0.215
0.9921875,-0.235
1,-0.255
1.0078125,-0.265
1.015625,-0.245
1.0234375,-0.285
1.03125,-0.275
1.0390625,-0.245
1.046875,-0.235
1.0546875,-0.185
1.0625,-0.125
1.0703125,-0.105
1.078125,-0.065
1.0859375,-0.035
1.09375,-0.015
1.1015625,-0.015
1.109375,0.005
1.1171875,-0.015
1.125,-0.025
1.1328125,-0.025
1.140625,-0.055
1.1484375,0.005
1.15625,0.015
1.1640625,-0.025
1.171875,-0.025
1.1796875,-0.025
1.1875,-0.025
1.1953125,-0.005
1.203125,-0.005
1.2109375,-0.025
1.21875,-0.025
1.2265625,-0.025
1.234375,-0.005
1.2421875,-0.015
1.25,-0.005
1.2578125,0.025
1.265625,0.065
1.2734375,0.055
1.28125,0.015
1.2890625,-0.045
1.296875,-0.055
1.3046875,-0.065
1.3125,-0.045
1.3203125,-0.005
1.328125,0.005
1.3359375,-0.045
1.34375,-0.055
1.3515625,-0.045
1.359375,-0.035
1.3671875,-0.045
1.375,-0.025
1.3828125,0.005
1.390625,0.235
1.3984375,0.015
1.40625,-0.455
1.4140625,-0.395
1.421875,-0.125
1.4296875,0.555
1.4375,0.155
1.4453125,-0.915
1.453125,-0.595
1.4609375,-0.145
1.46875,-0.025
1.4765625,-0.035
1.484375,-0.035
1.4921875,-0.075
1.5,-0.075
1.5078125,-0.065
1.515625,-0.055
1.5234375,-0.065
1.53125,-0.075
1.5390625,-0.115
1.546875,-0.115
1.5546875,-0.105
1.5625,-0.115
1.5703125,-0.115
1.578125,-0.155
1.5859375,-0.185
1.59375,-0.175
1.6015625,-0.215
1.609375,-0.215
1.6171875,-0.235
1.625,-0.275
1.6328125,-0.295
1.640625,-0.245
1.6484375,-0.215
1.65625,-0.235
1.6640625,-0.175
1.671875,-0.115
1.6796875,-0.085
1.6875,-0.055
1.6953125,-0.035
1.703125,-0.015
1.7109375,0.005
1.71875,0.025
1.7265625,0.025
1.734375,0.035
1.7421875,-0.015
1.75,0.005
1.7578125,0.005
1.765625,0.045
1.7734375,0.035
1.78125,0.005
1.7890625,-0.015
1.796875,0.015
1.8046875,0.025
1.8125,0.005
1.8203125,-0.005
1.828125,0.025
1.8359375,0.005
1.84375,-0.005
1.8515625,0.005
1.859375,-0.005
1.8671875,-0.005
1.875,0.005
1.8828125,0.035
1.890625,0.065
1.8984375,0.065
1.90625,0.045
1.9140625,-0.005
1.921875,-0.025
1.9296875,-0.045
1.9375,-0.065
1.9453125,-0.025
1.953125,0.015
1.9609375,-0.005
1.96875,-0.015
1.9765625,-0.025
1.984375,-0.025
1.9921875,-0.045
2,-0.025
2.0078125,-0.025
2.015625,0.115
2.0234375,0.125
2.03125,-0.185
2.0390625,-0.705
2.046875,-0.265
2.0546875,0.335
2.0625,0.745
2.0703125,-0.495
2.078125,-0.765
2.0859375,-0.265
2.09375,-0.045
2.1015625,-0.045
2.109375,-0.065
2.1171875,-0.075
2.125,-0.095
2.1328125,-0.075
2.140625,-0.035
2.1484375,-0.115
2.15625,-0.115
2.1640625,-0.115
2.171875,-0.115
2.1796875,-0.125
2.1875,-0.135
2.1953125,-0.155
2.203125,-0.175
2.2109375,-0.215
2.21875,-0.235
2.2265625,-0.255
2.234375,-0.245
2.2421875,-0.295
2.25,-0.295
2.2578125,-0.315
2.265625,-0.305
2.2734375,-0.305
2.28125,-0.295
2.2890625,-0.235
2.296875,-0.185
2.3046875,-0.145
2.3125,-0.095
2.3203125,-0.065
2.328125,-0.055
2.3359375,-0.015
2.34375,-0.005
2.3515625,-0.005
